age,income,credit_score,loan_amount,monthly_spend,experience_years,risk_tolerance,financial_capacity_index,behavior_score,loan_default,income_log,monthly_spend_log,financial_capacity_index_log,household_cashflow_score_log,credit_score_minmax,loan_amount_minmax,experience_years_minmax,behavior_score_minmax,age_std,credit_score_std,loan_amount_std,debt_to_income,spend_ratio,experience_years_safe,income_per_exp,risk_tolerance_encoded,employment_type_self_employed,employment_type_student,employment_type_unemployed,education_level_high_school,education_level_master,education_level_phd,region_north,region_south,region_west,age_group_Middle (36-50),age_group_Senior (51+),age_group_Young (18-25)
43.9605698361347,31019.3908228505,650.33682225841,33805.5503425181,1732.29814873585,13,high,31.0193908228505,38.3930954050024,0,10.342400035711462,7.457781316889145,3.4663416824922306,3.909450066157421,0.4951258004361234,0.7128687103237421,0.38235294117647056,0.3497288398182995,0.4832730471629533,-0.3985363065862745,1.736911315207896,1.0898199302358695,0.055845653405280575,13.0,2386.1069863731154,2,False,False,False,False,False,False,False,False,False,True,False,False
36.3408283859457,39375.9615567921,648.26101241313,20974.7557130596,2334.61069328278,32,high,39.3759615567921,62.1627537829953,0,10.580936192202447,7.756028674786802,3.698234596907334,4.038377505660114,0.4898768464430192,0.434053938907571,0.9411764705882353,0.6894517648390689,-0.20411192016805868,-0.4290102022692421,0.11055651785727164,0.5326792002985788,0.059290252249854576,32.0,1230.498798649753,2,False,False,False,False,False,False,True,False,False,True,False,False
45.7722624572083,18055.668704196,554.304977915898,26027.3397873687,1848.43599270534,1,low,18.055668704196,51.2007279797301,1,9.801270352824663,7.522636002782503,2.947364627081674,3.264715856636137,0.2522968467278037,0.5438472225211309,0.029411764705882353,0.5327792788143513,0.6467077622764982,-1.8083303748583643,0.7509918599836044,1.4415051701364094,0.1023742749708172,1.0,18055.668704196,0,False,False,False,False,False,False,False,True,False,True,False,False
56.2763582768963,15254.9292496796,656.893686580899,20798.6105207981,3256.2595475188,1,low,15.2549292496796,73.1228338916095,0,9.632723509728836,8.088641491238098,2.7883962012197645,3.602033144401842,0.5117056809324159,0.4302262818578907,0.029411764705882353,0.8460964424255024,1.594293400064636,-0.3022783570321623,0.08822940665817164,1.363402620909234,0.21345622088592717,1.0,15254.9292496796,0,False,False,True,False,True,False,False,False,False,False,True,False
35.1901595033199,11486.2929270706,731.298035727522,14661.3329502681,7767.80436692443,30,low,11.4862929270706,52.5714622548884,0,9.34899674056638,8.957871553390534,2.5246314768057028,2.855119425922813,0.699846712465481,0.2968624729620474,0.8823529411764706,0.552370214871478,-0.3079149819206237,0.7900135884024316,-0.6896951964359626,1.2764199070454356,0.6762673054086464,30.0,382.8764309023534,0,False,False,False,False,True,False,False,False,True,True,False,False
35.1903565166098,13423.3859104212,590.803751664624,2064.67252392869,1608.67521960034,3,medium,13.4233859104212,49.7982829051494,0,9.504828176090351,7.383787710672578,2.6688509108419933,3.3568308048629594,0.3445887224250852,0.02313546705133286,0.08823529411764705,0.5127351227166499,-0.3078972091425405,-1.272510667526344,-2.2863725423532717,0.1538116044421988,0.11984124052869927,3.0,4474.4619701404,1,False,False,False,False,True,False,True,False,False,True,False,False
56.9505537860887,99425.22847369016,753.393785573541,21643.6454962904,6638.60014172305,33,medium,129.24390766237,44.8595585302064,0,11.507171225782212,8.800807021037183,4.869408905354271,5.004115359850991,0.7557186771584921,0.44858899752240744,0.9705882352941176,0.4421494262860949,1.6551132928510814,1.1143899166945208,0.19534098672863884,0.2176876616584062,0.06676977507252851,33.0,3012.885711323944,1,False,False,True,False,False,False,False,True,False,False,True,False
47.2092167498349,46481.4110108854,714.144237475903,13795.1471631808,1595.05315729693,18,medium,46.4814110108854,50.0483036762989,0,10.746829262187488,7.375289084032127,3.8603382873050647,4.237798936573729,0.6564711123186424,0.27804014751727685,0.5294117647058824,0.5163084928652717,0.7763369348606669,0.5381875072827648,-0.7994877268995111,0.29678847657938223,0.034315936685385635,18.0,2582.3006117158557,1,False,False,False,True,False,False,False,True,False,True,False,False
32.3663073687805,9792.33661090754,628.603667462027,13597.3167506775,1513.07340681268,8,low,9.79233661090754,64.1126751609675,0,9.18945749573372,7.322558918167249,2.3788363091999387,3.2761161391792917,0.44017070427902105,0.2737412679206355,0.23529411764705882,0.7173206127438648,-0.5626576815170551,-0.7175895636235997,-0.8245635269359249,1.3885671307021503,0.1545160738375037,8.0,1224.0420763634424,0,False,False,False,True,False,False,True,False,False,False,False,False
44.5107205230315,9961.92122400957,670.09292538635,16008.1019521671,5738.05564815849,23,high,9.96192122400957,57.8276976449791,0,9.206625603159193,8.655049954551767,2.3944275603191003,2.880197499590864,0.5450816654385786,0.32612793174764265,0.6764705882352942,0.6274938718009586,0.5329027248117021,-0.10850712727984672,-0.5189868116152175,1.6069291848629983,0.5759988981170624,23.0,433.1270097395465,2,False,False,True,False,False,False,False,False,True,True,False,False
